,Activity date,Activity time,Activity name,Duration type,Duration hit count,Cycle duration (sec),Activity duration (sec),Light logic,Station number,Cycle number,Player number,Player name,Avg reaction time (ms),Total hits,Total miss hits,Total strikes,Repetitions,Lights out,Visual cue #1 (ms),Color #1,Visual cue #2 (ms),Color #2,Visual cue #3 (ms),Color #3,Visual cue #4 (ms),Color #4,Visual cue #5 (ms),Color #5,Visual cue #6 (ms),Color #6,Visual cue #7 (ms),Color #7,Visual cue #8 (ms),Color #8,Visual cue #9 (ms),Color #9,Visual cue #10 (ms),Color #10,Visual cue #11 (ms),Color #11,Visual cue #12 (ms),Color #12,Visual cue #13 (ms),Color #13,Levels,Steps
1,2024-09-21,12:11:21,LA ZONE TEST,once,,,11,Sequence,1,1,1,AOD23,753,13,0,0,1,Hit,247,Red,1594,Red,416,Red,419,Red,943,Red,787,Red,495,Red,887,Red,1192,Red,554,Red,1020,Red,318,Red,922,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-21,12:10:26,LA ZONE TEST,once,,,12,Sequence,1,1,1,AOD23,845,13,0,0,1,Hit,365,Red,1669,Red,544,Red,821,Red,576,Red,1142,Red,715,Red,849,Red,679,Red,1165,Red,1188,Red,653,Red,622,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-21,12:09:54,LA ZONE TEST,once,,,13,Sequence,1,1,1,AOD23,930,13,0,0,1,Hit,305,Red,2044,Red,874,Red,475,Red,486,Red,2101,Red,472,Red,484,Red,1205,Red,471,Red,2050,Red,644,Red,479,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-09-21,12:09:22,LA ZONE TEST,once,,,14,Sequence,1,1,1,AOD23,1026,13,0,0,1,Hit,463,Red,2212,Red,645,Red,797,Red,446,Red,1563,Red,835,Red,1024,Red,789,Red,754,Red,1304,Red,811,Red,1697,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-09-21,12:06:22,LA ZONE TEST,once,,,14,Sequence,1,1,1,AOD23,969,13,0,0,1,Hit,449,Red,1582,Red,454,Red,487,Red,338,Red,1050,Red,1038,Red,609,Red,1422,Red,2237,Red,1363,Red,460,Red,1108,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-09-21,12:05:52,LA ZONE TEST,once,,,15,Sequence,1,1,1,AOD23,1057,13,0,0,1,Hit,422,Red,1707,Red,455,Red,602,Red,347,Red,766,Red,1779,Red,573,Red,764,Red,1194,Red,1909,Red,2184,Red,1047,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-09-21,12:03:56,LA ZONE TEST,once,,,10,Sequence,1,1,1,AOD23,693,13,0,0,1,Hit,271,Red,1580,Red,517,Red,462,Red,552,Red,709,Red,488,Red,505,Red,1612,Red,471,Red,1045,Red,353,Red,450,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-09-21,12:00:42,LA ZONE TEST,once,,,11,Sequence,1,1,1,AOD23,741,13,0,0,1,Hit,465,Red,1464,Red,407,Red,613,Red,858,Red,565,Red,503,Red,490,Red,588,Red,1273,Red,1600,Red,352,Red,458,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-09-21,11:58:00,LA ZONE TEST,once,,,19,Sequence,1,1,1,AOD23,1370,13,0,0,1,Hit,364,Red,1891,Red,357,Red,775,Red,7734,Red,902,Red,1026,Red,585,Red,636,Red,653,Red,1937,Red,389,Red,570,Red,,
